ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Value
72,,N#Cc1ccc2nc3c(C#N)cc(C#N)c(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,HVHDAJNRICKSHQ-UHFFFAOYSA-N,-0.46
73,,N#Cc1cc(C#N)c2nc3cccc(C#N)c3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,ALZMQFKHMVGRAQ-UHFFFAOYSA-N,-0.47
74,,N#Cc1ccc2nc3c(C#N)c(C#N)ccc3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,JBDTVBMZQUWHIA-UHFFFAOYSA-N,-0.52
75,,N#Cc1cc(C#N)c2nc3ccc(C#N)c(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,WDTOHJJDJNAPSW-UHFFFAOYSA-N,-0.69
76,"phenazine-1,2,7,8-tetracarbonitrile",N#Cc1cc2nc3ccc(C#N)c(C#N)c3nc2cc1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,NLRQVIQKOLXGBZ-UHFFFAOYSA-N,-0.58
77,,N#Cc1ccc2nc3ccc(C#N)c(C#N)c3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,LHMRFEMQSHQGHZ-UHFFFAOYSA-N,-0.52
78,,N#Cc1cc(C#N)c2nc3ccc(C#N)c(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,QFRQCXDFNYUQND-UHFFFAOYSA-N,-0.55
79,,N#Cc1cc(C#N)c2nc3cc(C#N)cc(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,BOWQLGJLOLCMBF-UHFFFAOYSA-N,-0.57
80,,N#Cc1cc(C#N)c2nc3c(C#N)ccc(C#N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,MHCJHKXULUWNFT-UHFFFAOYSA-N,-0.56
81,,N#Cc1cc(C#N)c2nc3c(C#N)cc(C#N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,GLALSDPDEKWKNY-UHFFFAOYSA-N,-0.59
82,,N#Cc1ccc(C#N)c2nc3c(C#N)ccc(C#N)c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,YZOKGBDTDFXFNS-UHFFFAOYSA-N,-0.56
83,,N#Cc1cc2nc3c(C#N)ccc(C#N)c3nc2cc1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,BFANAOADAZZCFN-UHFFFAOYSA-N,-0.58
84,,N#Cc1cc2nc3cc(C#N)c(C#N)cc3nc2cc1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,JBDTVBMZQUWHIA-UHFFFAOYSA-N,-0.64
85,,N#Cc1c(C#N)c(C#N)c2nc3c(C#N)ccc(C#N)c3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,KJNMVKAETPSUMX-UHFFFAOYSA-N,0.02
86,,N#Cc1cc2nc3c(C#N)c(C#N)c(C#N)cc3nc2c(C#N)c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,VGCNXPYCZWAICO-UHFFFAOYSA-N,-0.11
87,,N#Cc1cc2nc3cc(C#N)c(C#N)c(C#N)c3nc2c(C#N)c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,MPPNCBPJWQQACV-UHFFFAOYSA-N,-0.06
88,,N#Cc1cc2nc3c(C#N)c(C#N)c(C#N)c(C#N)c3nc2cc1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,WYDZFAACXFFNHU-UHFFFAOYSA-N,-0.06
89,,N#Cc1c(C#N)c(C#N)c2nc3c(C#N)c(C#N)c(C#N)c(C#N)c3nc2c1C#N,c1ccc2nc3ccccc3nc2c1,Oxidized,SYZJSNBBQNLFLM-UHFFFAOYSA-N,0.51
90,"phenazine-1,2-diamine",Nc1ccc2nc3ccccc3nc2c1N,c1ccc2nc3ccccc3nc2c1,Oxidized,IYQHCPGJNZBANF-UHFFFAOYSA-N,-1.93
91,"phenazine-1,3-diamine",Nc1cc(N)c2nc3ccccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,OCEXLMJDNCJTGJ-UHFFFAOYSA-N,-2.03
92,"phenazine-1,4-diamine",Nc1ccc(N)c2nc3ccccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,HZROQHQHUDWHFG-UHFFFAOYSA-N,-1.89
93,"phenazine-1,6-diamine",Nc1cccc2nc3c(N)cccc3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,FRPNYDRHOLAYDZ-UHFFFAOYSA-N,-1.96
94,"phenazine-1,7-diamine",Nc1ccc2nc3c(N)cccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,QBEMJYYNZVQJCQ-UHFFFAOYSA-N,-2.02
95,"phenazine-1,8-diamine",Nc1ccc2nc3cccc(N)c3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,QWENODQIHKWVQV-UHFFFAOYSA-N,-2.02
96,"phenazine-1,9-diamine",Nc1cccc2nc3cccc(N)c3nc12,c1ccc2nc3ccccc3nc2c1,Oxidized,QWUFXJHVFNRNCU-UHFFFAOYSA-N,-1.95
97,"phenazine-2,3-diamine",Nc1cc2nc3ccccc3nc2cc1N,c1ccc2nc3ccccc3nc2c1,Oxidized,VZPGINJWPPHRLS-UHFFFAOYSA-N,-2.04
98,"phenazine-2,7-diamine",Nc1ccc2nc3cc(N)ccc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,CCBDBWAKDHGKNI-UHFFFAOYSA-N,-2.05
99,"phenazine-2,8-diamine",Nc1ccc2nc3ccc(N)cc3nc2c1,c1ccc2nc3ccccc3nc2c1,Oxidized,QBEMJYYNZVQJCQ-UHFFFAOYSA-N,-2.09
