ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,E0(VvsSHE),G_solv
240,,O=C1C=c2ccccc2=C(F)C1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,DXIOQDGNONUMQP-UHFFFAOYSA-N,1.06,-25.48
241,,O=C1C=CC=C2C=C([N+](=O)[O-])C(=O)C=C12,O=C1C=CC2=CC=CC(=O)C2=C1,Oxidized,IDECQGTUMWHGNN-UHFFFAOYSA-N,1.06,-27.73
242,,O=C(O)C1=CC=c2cc3c(cc2C1=O)=CC=CC3=O,O=C1C=CC=c2cc3c(cc21)=CC=CC3=O,Oxidized,OALQQMNUYIVRBE-UHFFFAOYSA-N,1.06,-38.5
243,,O=C1C=CC2=C([N+](=O)[O-])C(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,QISSVFVVRXMOAB-UHFFFAOYSA-N,1.06,-40.2
244,,O=C1C=CC2=CC(=O)C([N+](=O)[O-])=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,UGRWZMSIHAYILC-UHFFFAOYSA-N,1.06,-59.88
245,"2,6-dioxonaphthalene-1-carbaldehyde",O=CC1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,BSGNPAXRPUCJRL-UHFFFAOYSA-N,1.07,-7.66
246,,O=C1C(C(F)(F)F)=C2C(=O)C(C(F)(F)F)=C(C(F)(F)F)C(C(F)(F)F)=C2C(C(F)(F)F)=C1C(F)(F)F,O=C1C=CC2=CC=CC(=O)C2=C1,Oxidized,CLJVSWKPTSWTHE-UHFFFAOYSA-N,1.07,-262.4
247,,COC(=O)C1=CC=c2cc3c(cc2C1=O)=CC=CC3=O,O=C1C=CC=c2cc3c(cc21)=CC=CC3=O,Oxidized,HUYNEUSIQUWVFN-UHFFFAOYSA-N,1.07,-41.6
248,,O=C1C=c2cccc(F)c2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,IDIQBBQIHDNBOC-UHFFFAOYSA-N,1.07,-178.62
249,,O=C1C2=C(C(F)(F)F)C(C(F)(F)F)=C(C(F)(F)F)C(=O)C2=C(C(F)(F)F)C(C(F)(F)F)=C1C(F)(F)F,O=C1C=CC=C2C(=O)C=CC=C12,Oxidized,ILNYUAPSFPPEEE-UHFFFAOYSA-N,1.07,-5.83
250,,O=C1C(=O)C(Cl)=c2c(Cl)c(Cl)c(Cl)c(Cl)c2=C1Cl,O=C1C=c2ccccc2=CC1=O,Oxidized,KPZBBCFQEZXECF-UHFFFAOYSA-N,1.07,-29.05
251,,COC(=O)c1ccc2c(c1)=CC(=O)C(=O)C=2,O=C1C=c2ccccc2=CC1=O,Oxidized,NIGBCJYJMLZWJB-UHFFFAOYSA-N,1.07,-35.61
252,,O=C1C(P(=O)(O)O)=C(P(=O)(O)O)C(P(=O)(O)O)=c2c1c(P(=O)(O)O)c1c(c2P(=O)(O)O)C(=O)C(P(=O)(O)O)=C(P(=O)(O)O)C=1P(=O)(O)O,O=C1C=CC=c2cc3c(cc21)=CC=CC3=O,Oxidized,OFSLHVYWTFQNNB-UHFFFAOYSA-N,1.07,-32.63
253,,O=CC1=c2cc3c(cc2C=CC1=O)=CC(=O)C=C3,O=C1C=Cc2cc3c(cc2=C1)C=CC(=O)C=3,Oxidized,UYGWQFWIQJBLHA-UHFFFAOYSA-N,1.07,-47.85
254,,O=CC1=C2C(=O)C=CC=C2C=CC1=O,O=C1C=CC2=CC=CC(=O)C2=C1,Oxidized,AMZSKJPYMZWOTG-UHFFFAOYSA-N,1.08,-55.55
255,,C=Cc1ccc2cc3c(cc2c1)=CC(=O)C(=O)C=3,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,APOZFZYIOCJNAE-UHFFFAOYSA-N,1.08,-65.29
256,"6,7-dioxonaphthalene-2-sulfonic acid",O=C1C=c2ccc(S(=O)(=O)O)cc2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,DEKHLQILYHNPCD-UHFFFAOYSA-N,1.08,-260.2
257,"5-aminoanthracene-2,3-dione",Nc1cccc2cc3c(cc12)=CC(=O)C(=O)C=3,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,GJDLJUJAQIIGLL-UHFFFAOYSA-N,1.08,-40.16
258,"1-methylanthracene-2,3-dione",CC1=c2cc3ccccc3cc2=CC(=O)C1=O,O=C1C=c2cc3ccccc3cc2=CC1=O,Oxidized,HPQUIIGWMMLEJA-UHFFFAOYSA-N,1.08,-151.95
259,,O=C1C=c2ccccc2=C(Cl)C1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,IONZESFKBRNXAP-UHFFFAOYSA-N,1.08,-43.65
260,,O=C1C=c2ccc(C(=O)O)cc2=CC1=O,O=C1C=c2ccccc2=CC1=O,Oxidized,JWOTYVZTLZVVKI-UHFFFAOYSA-N,1.08,-27.23
