ID,IUPACName,SMILES,CoreSMILES,State,InchIKey,HOMOLUMO,SFE,pred_hl,pred_sfe
1311,,O=C1C=CC2=C(S)C(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,KODGFKJQPFTYOF-UHFFFAOYSA-N,5.652,-9.254322654,5.9185905,-9.640432
1312,,CC1=C2C=CC(=O)C=C2C=CC1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,KMWFNKOQLFDDHV-UHFFFAOYSA-N,6.19,-10.06611017,6.1484575,-9.811876
1313,,O=C1C=CC2=C(F)C(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,AENGXFMDHJJTJJ-UHFFFAOYSA-N,6.121,-9.10259066,6.231368,-8.78866
1314,"1-chloronaphthalene-2,6-dione",O=C1C=CC2=C(Cl)C(=O)C=CC2=C1,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,YAGFCHAJSUNVIL-UHFFFAOYSA-N,6.04799999999999,-9.539935201,6.089999,-9.140755
1315,,CN(C)C1=C2C(=C(N(C)C)C(=O)C(N(C)C)=C2N(C)C)C(N(C)C)=C(N(C)C)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,PSLQPNWWBVJSGO-UHFFFAOYSA-N,5.826,-14.15532581,6.110885,-21.315832
1316,,C=CC1=C(C=C)C2=C(C=C)C(=O)C(C=C)=C(C=C)C2=C(C=C)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,RSTZKYLBPWWWSY-UHFFFAOYSA-N,6.57299999999999,-8.697966758,6.3799157,-9.163674
1317,,O=CC1=C(C=O)C2=C(C=O)C(=O)C(C=O)=C(C=O)C2=C(C=O)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,ZDZKNMQPAOQRBF-UHFFFAOYSA-N,5.95,-31.01710894,5.9185996,-30.7440599999999
1318,"3,7-dioxonaphthalene-1,2,4,5,6,8-hexacarbonitrile",N#CC1=C(C#N)C2=C(C#N)C(=O)C(C#N)=C(C#N)C2=C(C#N)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,CXZSTLFUFDXNAQ-UHFFFAOYSA-N,6.051,-31.55644151,5.874258,-31.468967
1319,,O=NOC1=C(ON=O)C2=C(ON=O)C(=O)C(ON=O)=C(ON=O)C2=C(ON=O)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,KPFZVUZOQOTMBW-UHFFFAOYSA-N,5.867,-15.06522719,6.3115516,-15.12415
1320,,NC1=C(N)C2=C(N)C(=O)C(N)=C(N)C2=C(N)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,NRNUTNWLRJMXDG-UHFFFAOYSA-N,6.376,-24.85082725,6.4405603,-24.762285
1321,,COC1=C(OC)C2=C(OC)C(=O)C(OC)=C(OC)C2=C(OC)C1=O,O=C1C=CC2=CC(=O)C=CC2=C1,Oxidized,BQMMWAKZCPHNKK-UHFFFAOYSA-N,6.143,-15.11314855,6.4929595,-14.724596
