ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Hammett_sigma,QQ.(VvsNHE),Q.Q=(VvsNHE)
199,"3,4-dihydroxy-9,10-dioxoanthracene-2-sulfonic acid",O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)O)c(O)c2O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,JKYKXTRKURYNGW-UHFFFAOYSA-N,,-0.477,
200,"1,4-dihydroxy-5-methoxyanthracene-9,10-dione",COc1cccc2c1C(=O)c1c(O)ccc(O)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,MHYRKUJLYMYRNX-UHFFFAOYSA-N,-1.01,-0.374,-0.962
201,"1,4-dihydroxy-9,10-dioxoanthracene-2-sulfonic acid",O=C1c2ccccc2C(=O)c2c(O)c(S(=O)(=O)O)cc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,CCQSBGJULPBARL-UHFFFAOYSA-N,,-0.322,-0.779
202,,CS(=O)(=O)c1cc(O)c2c(c1O)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,WUESBHIZDJVYFZ-UHFFFAOYSA-N,-0.01,-0.00800000000000001,-0.548
203,"1,8-dihydroxy-3-methylanthracene-9,10-dione",Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,LQGUBLBATBMXHT-UHFFFAOYSA-N,-0.91,-0.319,-0.972
204,"1,4-dihydroxy-2,3-dimethylanthracene-9,10-dione",Cc1c(C)c(O)c2c(c1O)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,UEIREGKJDNBMLZ-UHFFFAOYSA-N,-1.08,-0.4,-1.029
205,"1,8-diamino-4,5-dihydroxyanthracene-9,10-dione",Nc1ccc(O)c2c1C(=O)c1c(N)ccc(O)c1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,SJHHHHHQWQOCDQ-UHFFFAOYSA-N,-2.06,-0.573,-1.135
206,"1,2,3-trihydroxyanthracene-9,10-dione",O=C1c2ccccc2C(=O)c2c1cc(O)c(O)c2O,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,AHKDJQYHVWSRLT-UHFFFAOYSA-N,-1.11,-0.48,
207,"1,2,4-trihydroxyanthracene-9,10-dione",O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,BBNQQADTFFCFGB-UHFFFAOYSA-N,-1.11,-0.379,-0.961
208,"1,4,5-trihydroxyanthracene-9,10-dione",O=C1c2cccc(O)c2C(=O)c2c(O)ccc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,PRKNCOCERFKSLP-UHFFFAOYSA-N,-1.11,-0.186,-0.775
209,"1,4,6-trihydroxyanthracene-9,10-dione",O=C1c2ccc(O)cc2C(=O)c2c(O)ccc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,Oxidized,FDXKFCSGFMVEEG-UHFFFAOYSA-N,-1.11,-0.37,-0.969
